CZ;L_manuf
11301;3249
17502;8735
11203;1124
11303;1984
2500;33280
402;6167
17200;15945
38501;5523
38502;2381
39303;2895
38602;1977
39400;158545
39000;8134
39301;254
39302;9835
16701;2083
16901;7796
16802;2027
16902;360
16702;7753
16801;3944
16703;1182
11202;212
22700;34885
21001;3274
21101;9297
22601;31469
21102;4584
22500;64688
23100;37868
23000;8586
24100;133219
21004;2400
24000;39544
22602;3886
22400;26648
34301;878
34601;1080
34602;434
34603;2263
34303;480
27703;465
34302;600
34604;10
