cz,NAICS4,year,emp
10501,3159,2011,60
10501,3161,2011,10
10501,3211,2011,454
10501,3212,2011,60
10501,3219,2011,650
10501,3221,2011,375
10501,3222,2011,175
10501,3231,2011,30
10501,3251,2011,60
10501,3252,2011,60
10501,3259,2011,70
10501,3262,2011,60
10501,3271,2011,70
10501,3273,2011,70
10501,3279,2011,60
10501,3311,2011,750
10501,3313,2011,10
10501,3315,2011,120
10501,3323,2011,130
10501,3326,2011,20
10501,3327,2011,185
10501,3328,2011,60
10501,3331,2011,60
10501,3339,2011,10
10501,3345,2011,10
10501,3353,2011,385
10501,3362,2011,60
10501,3363,2011,175
10501,3371,2011,216
10501,3372,2011,10
10501,3391,2011,385
10501,3399,2011,70
10502,3116,2011,40
10502,3119,2011,10
10502,3132,2011,175
10502,3133,2011,10
10502,3159,2011,235
10502,3169,2011,375
10502,3211,2011,202
10502,3212,2011,70
10502,3219,2011,90
10502,3222,2011,10
10502,3231,2011,90
10502,3241,2011,10
10502,3251,2011,10
10502,3259,2011,60
10502,3261,2011,195
10502,3271,2011,20
10502,3273,2011,80
10502,3312,2011,235
10502,3323,2011,370
10502,3324,2011,175
10502,3327,2011,76
10502,3329,2011,10
10502,3331,2011,10
10502,3332,2011,10
10502,3334,2011,60
10502,3339,2011,770
10502,3342,2011,175
10502,3344,2011,60
10502,3352,2011,10
10502,3359,2011,175
10502,3362,2011,70
10502,3363,2011,70
10502,3371,2011,275
10502,3391,2011,10
10502,3399,2011,235
10600,3111,2011,20
10600,3113,2011,10
10600,3116,2011,760
10600,3118,2011,10
10600,3121,2011,10
10600,3141,2011,60
10600,3149,2011,60
10600,3152,2011,60
10600,3159,2011,10
10600,3211,2011,715
10600,3212,2011,142
10600,3219,2011,3209
10600,3222,2011,10
10600,3231,2011,40
10600,3253,2011,60
10600,3259,2011,60
10600,3261,2011,250
10600,3262,2011,385
10600,3271,2011,60
10600,3273,2011,85
10600,3314,2011,60
10600,3323,2011,251
10600,3324,2011,60
10600,3326,2011,10
10600,3327,2011,254
10600,3329,2011,255
10600,3331,2011,60
10600,3333,2011,175
10600,3335,2011,10
10600,3339,2011,930
10600,3344,2011,10
10600,3345,2011,10
10600,3353,2011,60
10600,3359,2011,20
10600,3362,2011,365
10600,3363,2011,10
10600,3371,2011,961
10600,3372,2011,30
10600,3379,2011,235
10600,3391,2011,405
10600,3399,2011,90
10700,3111,2011,130
10700,3112,2011,435
10700,3113,2011,30
10700,3114,2011,60
10700,3115,2011,550
10700,3116,2011,1675
10700,3118,2011,1132
10700,3119,2011,1485
10700,3121,2011,780
10700,3141,2011,114
10700,3149,2011,110
10700,3152,2011,245
10700,3159,2011,10
10700,3169,2011,20
10700,3211,2011,315
10700,3212,2011,450
10700,3219,2011,830
10700,3222,2011,925
10700,3231,2011,2153
10700,3241,2011,880
10700,3251,2011,140
10700,3252,2011,185
10700,3253,2011,20
10700,3254,2011,295
10700,3255,2011,414
10700,3259,2011,80
10700,3261,2011,2318
10700,3262,2011,150
10700,3271,2011,550
10700,3272,2011,20
10700,3273,2011,1084
10700,3274,2011,420
10700,3279,2011,280
10700,3311,2011,3760
10700,3312,2011,670
10700,3313,2011,245
10700,3314,2011,90
10700,3315,2011,2999
10700,3321,2011,635
10700,3322,2011,80
10700,3323,2011,2190
10700,3324,2011,150
10700,3326,2011,250
10700,3327,2011,1797
10700,3328,2011,725
10700,3329,2011,894
10700,3331,2011,160
10700,3332,2011,210
10700,3333,2011,150
10700,3334,2011,375
10700,3335,2011,70
10700,3336,2011,30
10700,3339,2011,1409
10700,3341,2011,185
10700,3342,2011,10
10700,3344,2011,40
10700,3345,2011,435
10700,3346,2011,10
10700,3351,2011,70
10700,3353,2011,491
10700,3359,2011,850
10700,3361,2011,10
10700,3362,2011,210
10700,3363,2011,3155
10700,3364,2011,760
10700,3365,2011,10
10700,3366,2011,10
10700,3369,2011,22
10700,3371,2011,528
10700,3372,2011,307
10700,3379,2011,245
10700,3391,2011,403
