country,NAICS4,d_import
New Zealand,3111,2954814.464
New Zealand,3112,28130785.591000006
New Zealand,3113,25055609.162
New Zealand,3114,51387270.256000005
New Zealand,3115,16940951.759
New Zealand,3116,1005272.5820000002
New Zealand,3117,9033808.053
New Zealand,3118,3005980.151999999
New Zealand,3119,38385740.02200001
New Zealand,3121,26638606.613
New Zealand,3122,-530495.643
New Zealand,3131,-5677030.234000001
New Zealand,3132,33919283.799
New Zealand,3133,-4486488.182999998
New Zealand,3141,81725572.037
New Zealand,3149,63581138.66
New Zealand,3151,38736622.254
New Zealand,3152,-71560758.26300001
New Zealand,3159,-32093862.243
New Zealand,3161,-4152600.9740000004
New Zealand,3162,-31003517.41199997
New Zealand,3169,30744392.04100001
New Zealand,3211,3249789.828999999
New Zealand,3212,16081346.118
New Zealand,3219,31500958.501999997
New Zealand,3221,-8328139.978
New Zealand,3222,78695817.74399999
New Zealand,3231,33891308.973000005
New Zealand,3241,1676204.091
New Zealand,3251,14200855.916000009
New Zealand,3252,50779772.54499999
New Zealand,3253,103685023.69600001
New Zealand,3254,43306078.333000004
New Zealand,3255,3577253.052
New Zealand,3256,20239265.470999993
New Zealand,3259,-23112491.668000005
New Zealand,3261,211975902.118
New Zealand,3262,51479304.32499999
New Zealand,3271,19534532.995000005
New Zealand,3272,37150972.465
New Zealand,3273,7838894.000999999
New Zealand,3274,-243319.65000000002
New Zealand,3279,20619862.723000005
New Zealand,3311,67926200.93999998
New Zealand,3312,58294303.477
New Zealand,3313,19452999.978
New Zealand,3314,10135980.362000003
New Zealand,3315,31112419.983999997
New Zealand,3321,32636910.364
New Zealand,3322,49521115.966
New Zealand,3323,91481386.63
New Zealand,3324,21593986.407000005
New Zealand,3325,31233252.409999996
New Zealand,3326,18116890.973
New Zealand,3327,22175280.582999997
New Zealand,3329,156222182.70599997
New Zealand,3331,108696011.894
New Zealand,3332,76438132.00799999
New Zealand,3333,-1297792.8390000015
New Zealand,3334,35635583.636999995
New Zealand,3335,16252980.424999997
New Zealand,3336,24576568.824999996
New Zealand,3339,184724496.04600003
New Zealand,3341,-48621256.103000045
New Zealand,3342,345138686.00699997
New Zealand,3343,51793345.921000004
New Zealand,3344,189057925.65200007
New Zealand,3345,44024363.51400001
New Zealand,3346,12121383.081999999
New Zealand,3351,60186499.97500001
New Zealand,3352,141318371.476
New Zealand,3353,83343313.83699998
New Zealand,3359,189269065.29
New Zealand,3361,65040519.543
New Zealand,3362,25304347.805
New Zealand,3363,107118946.12600002
New Zealand,3364,19369285.093999997
New Zealand,3365,42140981.24
New Zealand,3366,6282144.485999998
New Zealand,3369,103935083.968
New Zealand,3371,120929631.32800001
New Zealand,3372,42095472.78
New Zealand,3379,58575579.11800001
New Zealand,3391,70455482.86800002
New Zealand,3399,183316434.79299998
New Zealand,5112,-2945477.971
New Zealand,9100,296195.2949999999
New Zealand,9200,-11361328.264
New Zealand,9300,61440878.429000005
New Zealand,9900,-10050529.204
Norway,1111,1033548.385
Norway,1112,503861.098
Norway,1113,1982277.9700000002
Norway,1114,205385.907
Norway,1119,1024348.308
Norway,1124,230316.435
Norway,1129,4671.234
Norway,1132,911028.6840000004
Norway,1133,1015.9989999999998
Norway,1141,-1440624.838
Norway,2111,-4809.0
Norway,2123,277983.91599999974
Norway,3111,3810320.075
Norway,3112,-6767796.354000002
Norway,3113,9836106.795
Norway,3114,10536846.292
Norway,3115,10227051.265999999
Norway,3116,1647714.636
Norway,3117,-2107690.925
Norway,3118,1714779.188
Norway,3119,14898097.662999999
Norway,3121,11954575.43
Norway,3122,136.963
Norway,3131,-1778862.6849999987
Norway,3132,18091232.075000003
Norway,3133,-25635.558999999426
Norway,3141,26074708.372999996
Norway,3149,37413252.826000005
Norway,3151,30562393.082000002
Norway,3152,-224811761.28499997
Norway,3159,-180465645.439
Norway,3161,-12335160.372000001
Norway,3162,-65802313.407000005
Norway,3169,-18342857.059000015
Norway,3211,-7981073.072
Norway,3212,-9335300.610000001
Norway,3219,-19710501.825999998
Norway,3221,-3099168.895
Norway,3222,-7854871.879000001
Norway,3231,13844151.788000003
Norway,3241,-151152.42700000003
Norway,3251,3003795.1209999993
Norway,3252,-6800567.262
Norway,3253,-270.0629999998491
Norway,3254,44028551.164
Norway,3255,356635.7139999999
Norway,3256,7255865.142000001
Norway,3259,-17622761.032000005
Norway,3261,62786808.430999994
Norway,3262,42141628.71000001
Norway,3271,-15491924.277999997
Norway,3272,3144012.730000004
Norway,3273,1467293.4079999998
Norway,3274,125989.06700000001
Norway,3279,13625035.560999997
Norway,3311,73946262.275
Norway,3312,53831985.232
Norway,3313,-40003994.083000004
Norway,3314,-32442341.41499999
Norway,3315,34428664.912
Norway,3321,17348750.612
Norway,3322,34275554.423999995
Norway,3323,-13323201.545000002
Norway,3324,5001426.335000001
Norway,3325,2704149.519999996
Norway,3326,11580630.404
Norway,3327,9954196.697999999
Norway,3329,75679667.43200001
Norway,3331,69052370.57100001
Norway,3332,167233086.881
Norway,3333,1534499.5649999976
Norway,3334,22011691.16600001
Norway,3335,19905936.031000003
Norway,3336,-944478.0529999994
Norway,3339,27835033.200999975
Norway,3341,-109561123.23799992
Norway,3342,424305800.908
Norway,3343,51976204.35800004
Norway,3344,112219237.53200006
Norway,3345,13839611.164000005
Norway,3346,-2331268.25
Norway,3351,91843816.269
Norway,3352,94948698.62
Norway,3353,107895829.035
Norway,3359,253020248.93199998
Norway,3361,89960081.948
Norway,3362,58358063.664000005
Norway,3363,47650088.435
Norway,3364,-4603977.99
Norway,3365,-309162.163
Norway,3366,-70093992.932
Norway,3369,97153883.20899999
Norway,3371,-20115148.518000007
Norway,3372,15575382.404
Norway,3379,23910637.574
Norway,3391,44659738.467999995
Norway,3399,39554597.35599995
Norway,5112,-16146933.0
Norway,9100,-107697.16900000023
Norway,9200,-11731921.0
Norway,9300,96128118.898
Norway,9900,-30784969.204
Sweden,1111,3374128.496
Sweden,1112,105100.55900000001
Sweden,1113,1475346.632
Sweden,1114,825.729
Sweden,1119,-1461031.1410000003
Sweden,1124,68193.722
Sweden,1129,2411.63
Sweden,1132,-1361448.9470000002
Sweden,1133,-67095.984
Sweden,1141,-633491.7660000001
Sweden,2111,3806.162
Sweden,2122,-186538.76400000002
Sweden,2123,2211816.988
Sweden,3111,7030873.851
Sweden,3112,8457773.621
Sweden,3113,1883469.8149999995
Sweden,3114,5988255.831
Sweden,3115,1113837.9549999996
Sweden,3116,606253.6670000001
Sweden,3117,-15872177.287
Sweden,3118,2043953.0900000003
Sweden,3119,6074098.295
Sweden,3121,4097034.771
Sweden,3122,149.433
Sweden,3131,836214.473
Sweden,3132,46932675.16200001
Sweden,3133,-2973677.9340000004
Sweden,3141,97070530.269
Sweden,3149,27501307.059000015
Sweden,3151,41497201.057
Sweden,3152,-41610079.03700006
Sweden,3159,-190399344.901
Sweden,3161,-13832150.991
Sweden,3162,-20152350.278000027
Sweden,3169,-7989945.2650000155
Sweden,3211,-16143525.898
Sweden,3212,-14789978.072999997
Sweden,3219,-30370394.295
Sweden,3221,3709691.2059999984
Sweden,3222,25377944.01799999
Sweden,3231,18826422.647999987
Sweden,3241,5157464.666999999
Sweden,3251,16225122.945000008
Sweden,3252,312393.58699999936
Sweden,3253,-1598922.088
Sweden,3254,25440999.426
Sweden,3255,1554438.3079999997
Sweden,3256,15194163.965000002
Sweden,3259,2481312.8610000014
Sweden,3261,97904052.95599997
Sweden,3262,35098678.559000015
Sweden,3271,-16696573.72299999
Sweden,3272,4061809.774999991
Sweden,3273,-1647065.73
Sweden,3274,96075.908
Sweden,3279,14738693.428000003
Sweden,3311,122340359.44099998
Sweden,3312,100721311.29800001
Sweden,3313,7298288.726999998
Sweden,3314,17376572.487999998
Sweden,3315,36516744.825
Sweden,3321,35890140.213
Sweden,3322,70486274.86
Sweden,3323,199826557.16799998
Sweden,3324,8235098.407000005
Sweden,3325,35267846.003000006
Sweden,3326,-496993.1899999976
Sweden,3327,71273180.135
Sweden,3329,195144935.13200003
Sweden,3331,156983225.31799996
Sweden,3332,87365480.616
Sweden,3333,127744455.03599998
Sweden,3334,61738291.83500001
Sweden,3335,26012238.771000005
Sweden,3336,238696987.45100003
Sweden,3339,271408014.8460001
Sweden,3341,-206092924.10000002
Sweden,3342,-200296189.73599994
Sweden,3343,72953072.33200002
Sweden,3344,112332860.07800007
Sweden,3345,81591121.92899999
Sweden,3346,4313851.478
Sweden,3351,87940205.94099998
Sweden,3352,99977287.96900004
Sweden,3353,215809537.547
Sweden,3359,369728604.3520001
Sweden,3361,21992769.792000003
Sweden,3362,32203051.015
Sweden,3363,221857671.167
Sweden,3364,102038398.815
Sweden,3365,-5524693.547000001
Sweden,3366,254661206.894
Sweden,3369,164580191.439
Sweden,3371,69350767.95499998
Sweden,3372,31152499.82100001
Sweden,3379,40496685.68800001
Sweden,3391,80344981.08199999
Sweden,3399,184322684.48900008
Sweden,5112,-1518720.023
Sweden,9100,7608180.956
Sweden,9200,-23604320.188
Sweden,9300,56849352.317
Sweden,9900,-7870118.038999999
