CZ;naics;emp
9600;5415;4
9600;5613;102
9600;5617;78
9600;6211;43
9600;6212;37
9600;6213;12
9600;6214;61
9600;6216;56
9600;6231;224
9600;6233;101
9600;6241;58
9600;6244;83
9600;7211;30
9600;7225;745
9600;8111;47
9600;8113;7
9600;8122;15
9600;8131;214
6600;1133;60
6600;2211;93
6600;2361;6
6600;2362;14
6600;2381;12
6600;2382;29
6600;2389;8
6600;4238;47
6600;4411;14
6600;4413;49
6600;4441;40
6600;4442;10
6600;4451;124
6600;4461;91
6600;4471;76
6600;4481;53
6600;4523;278
6600;4841;58
6600;4842;27
6600;5173;23
6600;5221;55
6600;5222;26
6600;5223;11
6600;5242;6
6600;5311;25
6600;5411;10
6600;5412;11
6600;5416;6
6600;5419;23
6600;5617;16
6600;6211;313
6600;6212;24
6600;6213;14
6600;6241;18
6600;6244;69
6600;7139;5
6600;7211;12
6600;7225;547
6600;8111;24
6600;8113;4
6600;8129;7
6600;8131;101
6600;8139;10
10700;1133;99
10700;2211;84
10700;2361;29
10700;2362;17
10700;2371;60
10700;2381;92
10700;2382;38
10700;2383;134
10700;2389;114
10700;4238;65
10700;4239;18
10700;4244;316
10700;4246;22
10700;4411;167
10700;4413;70
10700;4421;37
10700;4441;48
10700;4442;66
10700;4451;186
10700;4452;24
10700;4453;7
10700;4461;84
10700;4471;221
10700;4481;26
10700;4523;372
10700;4539;45
10700;4543;34
10700;4841;109
10700;4842;70
10700;5173;49
10700;5221;99
10700;5222;52
10700;5223;10
10700;5239;2
10700;5241;16
10700;5242;25
10700;5311;22
10700;5312;6
10700;5313;8
10700;5322;12
10700;5324;10
10700;5411;22
10700;5412;29
10700;5413;20
10700;5415;7
10700;5416;4
10700;5419;21
10700;5616;7
10700;5617;70
10700;5629;18
10700;6211;95
10700;6212;56
10700;6213;51
10700;6214;25
10700;6216;192
10700;6241;21
10700;6244;57
10700;7139;71
10700;7211;64
10700;7223;34
10700;7225;991
10700;8111;77
10700;8113;42
10700;8121;7
10700;8122;31
10700;8131;320
10700;8139;8
10802;1133;257
10802;1153;16
10802;2361;10
10802;2382;19
10802;2389;238
10802;4413;10
10802;4441;29
10802;4451;92
10802;4461;32
10802;4471;54
10802;4481;9
10802;4523;56
10802;4543;13
10802;4841;66
10802;4842;45
10802;5173;18
10802;5221;52
10802;5242;14
10802;5311;10
10802;5411;20
10802;5412;13
10802;5413;14
10802;5617;6
10802;6212;38
10802;6214;9
10802;7211;15
10802;7225;120
10802;8111;31
10802;8131;45
10802;8139;21
11001;1131;22
11001;1133;141
11001;1153;91
11001;2361;5
11001;2362;30
11001;2382;53
11001;4231;5
11001;4238;41
11001;4239;41
11001;4411;98
11001;4413;67
11001;4431;42
11001;4441;59
11001;4442;23
11001;4451;268
11001;4461;129
11001;4471;186
11001;4481;82
11001;4482;14
11001;4523;514
11001;4531;7
11001;4532;4
11001;4539;11
11001;4543;28
11001;4841;30
11001;4842;106
11001;4884;6
11001;5111;22
11001;5173;45
11001;5221;162
11001;5222;67
11001;5223;10
11001;5239;6
11001;5241;20
11001;5242;67
11001;5311;50
11001;5322;19
11001;5411;42
11001;5412;17
11001;5419;15
11001;5617;54
