CZ;naics;emp
35001;3254;3110
35001;3255;209
35001;3256;542
35001;3259;773
35001;3261;4540
35001;3262;442
35001;3271;69
35001;3272;820
35001;3273;2675
35001;3274;55
35001;3279;575
35001;3311;148
35001;3312;134
35001;3313;1055
35001;3314;283
35001;3315;725
35001;3321;513
35001;3322;248
35001;3323;5186
35001;3324;314
35001;3325;79
35001;3326;181
35001;3327;4686
35001;3328;1547
35001;3329;4535
35001;3331;710
35001;3332;1123
35001;3333;338
35001;3334;1489
35001;3335;1894
35001;3336;94
35001;3339;784
35001;3341;121
35001;3342;3179
35001;3343;26
35001;3344;8416
35001;3345;4821
35001;3346;29
35001;3351;188
35001;3352;604
35001;3353;219
35001;3359;900
35001;3362;416
35001;3363;2364
35001;3364;10649
35001;3369;148
35001;3371;2933
35001;3372;1016
35001;3379;1026
35001;3391;3559
35001;3399;2895
37901;3121;91
37901;3149;53
37901;3231;123
37901;3256;19
37901;3261;467
37901;3273;206
37901;3323;46
37901;3327;242
37901;3328;56
37901;3335;26
37901;3339;18
37901;3363;19
37901;3364;33
37901;3366;86
37901;3371;710
37901;3391;132
37901;3399;34
35500;3219;43
35500;3273;30
35500;3279;40
35500;3327;6
35500;3371;26
35100;3114;234
35100;3116;39
35100;3118;363
35100;3119;7
35100;3121;561
35100;3141;39
35100;3149;44
35100;3152;11
35100;3219;314
35100;3231;706
35100;3241;90
35100;3254;1489
35100;3256;34
35100;3259;25
35100;3261;297
35100;3262;19
35100;3271;128
35100;3272;7
35100;3273;509
35100;3279;75
35100;3315;83
35100;3321;265
35100;3323;981
35100;3327;734
35100;3328;155
35100;3329;746
35100;3331;552
35100;3332;7
35100;3333;209
35100;3334;11
35100;3335;107
35100;3339;213
35100;3343;116
35100;3344;359
35100;3345;1013
35100;3351;36
35100;3353;180
35100;3359;119
35100;3363;760
35100;3364;10012
35100;3371;76
35100;3372;42
35100;3391;706
35100;3399;360
35001;3111;77
35001;3115;702
35001;3118;40
35001;3231;33
35001;3241;36
35001;3253;39
35001;3255;59
35001;3261;230
35001;3273;320
35001;3279;61
35001;3314;581
35001;3323;342
35001;3327;8
35001;3339;2
35001;3364;550
35001;3371;24
35001;3372;28
35001;3399;25
35100;3118;2
