cz,NAICS4,year,emp
1302,3273,2019,224
1302,3279,2019,75
1302,3323,2019,650
1302,3327,2019,264
1302,3345,2019,495
1302,3371,2019,37
1302,3399,2019,112
13101,3118,2019,216
13101,3119,2019,447
13101,3121,2019,675
13101,3141,2019,404
13101,3149,2019,239
13101,3211,2019,53
13101,3212,2019,567
13101,3219,2019,1619
13101,3222,2019,1526
13101,3231,2019,4139
13101,3251,2019,882
13101,3252,2019,869
13101,3255,2019,177
13101,3259,2019,199
13101,3261,2019,3777
13101,3271,2019,65
13101,3272,2019,166
13101,3273,2019,463
13101,3279,2019,73
13101,3313,2019,145
13101,3321,2019,660
13101,3322,2019,32
13101,3323,2019,1636
13101,3324,2019,190
13101,3327,2019,1095
13101,3328,2019,446
13101,3329,2019,223
13101,3332,2019,214
13101,3333,2019,458
13101,3334,2019,690
13101,3335,2019,160
13101,3339,2019,1659
13101,3352,2019,3766
13101,3353,2019,334
13101,3362,2019,147
13101,3363,2019,2749
13101,3371,2019,949
13101,3372,2019,420
13101,3391,2019,822
13101,3399,2019,330
13102,3121,2019,13
13102,3219,2019,84
13102,3261,2019,286
13102,3327,2019,43
13103,3121,2019,1803
13103,3219,2019,487
13103,3261,2019,507
13103,3327,2019,95
13103,3335,2019,88
13103,3363,2019,1440
13103,3371,2019,89
13200,3118,2019,46
13200,3211,2019,85
13200,3219,2019,131
13200,3231,2019,66
13200,3273,2019,20
13200,3323,2019,37
13200,3324,2019,213
13200,3327,2019,72
13200,3329,2019,72
13300,3118,2019,48
13300,3219,2019,127
13300,3231,2019,63
13300,3252,2019,134
13300,3261,2019,2794
13300,3262,2019,890
13300,3273,2019,19
13300,3322,2019,87
13300,3327,2019,290
13300,3332,2019,83
13300,3335,2019,83
13300,3363,2019,2693
13300,3371,2019,23
13300,3399,2019,42
13400,3114,2019,163
13400,3149,2019,109
13400,3219,2019,67
13400,3231,2019,491
13400,3262,2019,541
13400,3273,2019,43
13400,3315,2019,929
13400,3321,2019,130
13400,3323,2019,41
13400,3327,2019,992
13400,3328,2019,683
13400,3329,2019,105
13400,3331,2019,687
13400,3335,2019,492
13400,3363,2019,887
13400,3371,2019,91
13400,3391,2019,21
13400,3399,2019,26
13501,3118,2019,162
13501,3121,2019,35
13501,3219,2019,223
13501,3222,2019,279
13501,3231,2019,1495
13501,3241,2019,36
13501,3251,2019,205
13501,3252,2019,176
13501,3256,2019,650
13501,3261,2019,3310
13501,3272,2019,1783
13501,3273,2019,116
13501,3279,2019,153
13501,3321,2019,91
13501,3322,2019,261
13501,3323,2019,165
13501,3326,2019,340
13501,3327,2019,1828
13501,3328,2019,1023
13501,3329,2019,168
13501,3332,2019,27
13501,3333,2019,126
13501,3335,2019,785
13501,3339,2019,288
13501,3344,2019,10
13501,3345,2019,149
13501,3353,2019,13
13501,3362,2019,28
13501,3363,2019,2372
13501,3371,2019,116
13501,3391,2019,243
13501,3399,2019,120
13502,3255,2019,358
13502,3259,2019,67
13502,3261,2019,1777
13502,3327,2019,181
13502,3335,2019,18
13502,3363,2019,564
13600,3118,2019,73
13600,3121,2019,412
13600,3219,2019,492
13600,3221,2019,63
13600,3222,2019,684
13600,3231,2019,895
13600,3252,2019,110
13600,3259,2019,45
13600,3261,2019,3158
13600,3273,2019,77
13600,3313,2019,421
13600,3315,2019,2014
13600,3321,2019,163
13600,3323,2019,421
13600,3326,2019,152
13600,3327,2019,2039
13600,3328,2019,1730
13600,3329,2019,566
13600,3332,2019,99
13600,3335,2019,1190
13600,3339,2019,935
13600,3353,2019,75
13600,3359,2019,33
13600,3362,2019,599
13600,3363,2019,448
13600,3364,2019,843
13600,3371,2019,140
13600,3372,2019,76
13600,3391,2019,194
13600,3399,2019,389
13700,3111,2019,34
13700,3116,2019,758
13700,3118,2019,369
13700,3141,2019,113
13700,3149,2019,597
13700,3211,2019,92
13700,3219,2019,4297
13700,3221,2019,246
13700,3222,2019,600
13700,3231,2019,537
13700,3255,2019,203
13700,3259,2019,945
13700,3261,2019,7097
13700,3262,2019,733
13700,3272,2019,188
13700,3273,2019,139
13700,3279,2019,228
13700,3321,2019,735
13700,3322,2019,107
13700,3323,2019,949
13700,3325,2019,228
13700,3327,2019,1277
13700,3328,2019,1046
13700,3329,2019,1676
13700,3332,2019,369
13700,3335,2019,982
13700,3339,2019,40
13700,3353,2019,93
13700,3359,2019,60
