CZ;naics;emp
10802;3222;175
10802;3241;60
10801;3116;10
10801;3117;175
10801;3211;375
10801;3251;10
10801;3261;60
10801;3323;10
10801;3327;10
10801;3329;10
10801;3399;10
10302;3116;10
10302;3119;60
10302;3211;60
10302;3323;60
10302;3327;10
10302;3328;10
10302;3334;10
10302;3371;60
10302;3399;10
10302;3116;750
10302;3118;175
10302;3119;375
10302;3121;60
10302;3122;175
10302;3132;375
10302;3149;74
10302;3159;60
10302;3211;10
10302;3212;60
10302;3219;60
10302;3222;60
10302;3231;71
10302;3253;10
10302;3261;60
10302;3262;750
10302;3273;60
10302;3279;10
10302;3312;10
10302;3322;10
10302;3323;623
10302;3327;85
10302;3328;10
10302;3329;22
10302;3332;60
10302;3339;21
10302;3353;175
10302;3359;10
10302;3362;10
10302;3363;10
10302;3371;48
10302;3372;60
10302;3391;45
10302;3399;216
6100;3131;60
6100;3132;10
6100;3141;1750
6100;3149;375
6100;3151;10
6100;3169;10
6100;3211;60
6100;3219;24
6100;3221;375
6100;3222;10
6100;3231;60
6100;3252;750
6100;3261;10
6100;3262;60
6100;3273;10
6100;3274;10
6100;3279;10
6100;3311;175
6100;3313;10
6100;3323;53
6100;3324;10
6100;3327;75
6100;3328;10
6100;3334;375
6100;3339;60
6100;3362;10
6100;3363;175
6100;3371;10
6100;3372;375
6100;3391;10
6100;3399;60
10700;3111;60
10700;3112;375
10700;3113;10
10700;3114;60
10700;3115;375
10700;3116;60
10700;3118;750
10700;3119;1750
10700;3121;750
10700;3141;44
10700;3149;15
10700;3152;20
10700;3159;10
10700;3169;10
10700;3211;10
10700;3219;191
10700;3222;254
10700;3231;1483
10700;3241;580
10700;3251;76
10700;3252;175
10700;3254;60
10700;3255;212
10700;3259;60
10700;3261;1282
10700;3262;60
10700;3271;335
10700;3272;10
10700;3273;336
10700;3279;119
10700;3311;3750
10700;3312;375
10700;3313;175
10700;3314;175
10700;3315;2396
10700;3321;407
10700;3322;10
10700;3323;1076
10700;3324;175
10700;3326;99
10700;3327;1020
10700;3328;550
10700;3329;294
10700;3331;10
10700;3332;60
10700;3333;60
10700;3334;344
10700;3335;25
10700;3336;60
10700;3339;375
10700;3341;175
10700;3344;10
10700;3345;175
10700;3346;10
10700;3351;60
10700;3353;431
10700;3359;375
10700;3362;92
10700;3363;1071
10700;3364;750
10700;3365;10
10700;3369;22
10700;3371;111
10700;3372;152
10700;3379;60
10700;3391;185
10700;3399;929
10600;3211;175
10600;3212;10
10600;3219;60
10600;3231;10
10600;3314;60
10600;3323;10
10600;3327;10
10600;3329;10
10600;3333;175
10600;3339;375
10600;3371;60
10600;3372;10
6200;3111;10
6200;3116;10
6200;3118;60
6200;3119;750
6200;3141;10
6200;3149;10
6200;3151;10
6200;3152;10
6200;3212;10
6200;3219;109
6200;3222;60
6200;3231;38
6200;3252;10
6200;3256;10
6200;3261;175
6200;3262;60
6200;3271;175
6200;3273;60
6200;3313;60
6200;3315;60
6200;3323;60
6200;3324;60
6200;3327;18
6200;3328;10
6200;3329;10
6200;3332;60
6200;3335;225
6200;3339;10
6200;3345;10
6200;3363;175
6200;3364;10
6200;3371;10
6200;3372;375
6200;3391;28
6200;3399;60
6000;3116;10
6000;3149;10
6000;3212;10
6000;3221;750
6000;3231;60
6000;3251;10
6000;3271;10
6000;3273;10
6000;3323;10
6000;3327;60
6000;3371;10
6000;3399;10
9800;3118;375
9800;3119;60
9800;3121;10
9800;3133;10
9800;3141;10
9800;3149;10
9800;3211;175
9800;3219;60
9800;3221;60
9800;3222;175
9800;3231;94
9800;3241;60
9800;3252;10
9800;3253;10
9800;3256;10
9800;3261;750
9800;3262;175
9800;3273;60
9800;3279;10
9800;3315;10
9800;3321;10
9800;3323;60
9800;3326;175
9800;3327;101
9800;3329;21
9800;3331;60
9800;3335;60
9800;3336;750
9800;3339;175
9800;3341;60
9800;3342;10
9800;3345;175
9800;3359;60
9800;3363;1367
9800;3369;60
9800;3371;375
9800;3391;60
9800;3399;60
6000;3115;10
6000;3116;10
6000;3121;60
6000;3149;10
6000;3151;10
6000;3152;10
6000;3211;10
6000;3219;10
6000;3222;175
6000;3251;10
6000;3255;60
6000;3256;10
6000;3261;60
6000;3273;51
6000;3315;10
6000;3321;60
6000;3322;60
6000;3323;10
6000;3325;175
6000;3327;120
6000;3328;10
6000;3329;10
6000;3332;60
6000;3335;175
6000;3344;10
6000;3345;60
6000;3359;60
6000;3363;60
6000;3371;60
6000;3372;750
6000;3391;10
6000;3399;750
11101;3111;10
11101;3152;175
11101;3231;10
11101;3241;60
11101;3251;10
11101;3252;375
11101;3259;375
11101;3321;10
11101;3335;10
11101;3363;375
9800;3115;10
9800;3211;10
9800;3273;10
9800;3279;10
9800;3363;375
6000;3113;10
6000;3118;66
6000;3121;60
6000;3149;117
6000;3211;60
6000;3212;60
6000;3219;88
6000;3222;243
6000;3231;274
6000;3251;60
6000;3252;60
6000;3254;750
6000;3259;59
6000;3261;637
6000;3272;750
6000;3273;197
6000;3279;175
6000;3312;60
6000;3313;60
6000;3314;375
6000;3315;10
6000;3321;10
6000;3323;421
6000;3324;175
6000;3327;471
6000;3328;170
6000;3329;175
6000;3331;10
6000;3333;60
6000;3335;58
6000;3336;375
6000;3339;108
6000;3341;104
6000;3342;3750
6000;3343;10
6000;3344;1350
6000;3345;750
6000;3346;1750
6000;3353;375
6000;3359;60
6000;3361;175
6000;3362;60
6000;3363;1750
6000;3364;1750
6000;3365;10
6000;3366;10
6000;3369;10
6000;3371;52
6000;3372;10
6000;3391;404
6000;3399;52
10802;3111;60
10802;3116;375
10802;3121;10
10802;3211;10
10802;3212;60
10802;3219;175
10802;3221;750
10802;3222;60
10802;3251;10
10802;3252;10
10802;3273;175
10802;3315;10
10802;3327;10
