"cz","L_manuf_t0","L_manuf_t1","d_ln_L","IPW","period","sample"
"26101",5227,2389,-0.782962631387113,17.402239948276,"1999-2011","manuf"
"26102",4121,2775,-0.395445105158282,10.2297124591715,"1999-2011","manuf"
"26103",3260,1380,-0.859643696209504,9.68246714271296,"1999-2011","manuf"
"26104",1045,670,-0.4444944520139,6.22857394797835,"1999-2011","manuf"
"26105",1920,1910,-0.00522194398115161,4.19016950316968,"1999-2011","manuf"
"26106",2058,1565,-0.273848813419741,10.5603401981611,"1999-2011","manuf"
"26107",1905,1140,-0.51345374617226,25.8128234157743,"1999-2011","manuf"
"26201",2531,2066,-0.20300011086554,13.4878107934305,"1999-2011","manuf"
"26202",70,90,0.251314428280906,1.79788248301855,"1999-2011","manuf"
"26203",180,160,-0.117783035656384,10.4449660068225,"1999-2011","manuf"
"26204",20,30,0.405465108108165,1.520378757475,"1999-2011","manuf"
"26301",560,545,-0.0271509890659507,9.71665104974778,"1999-2011","manuf"
"26302",495,415,-0.176279242337992,0.951573048920838,"1999-2011","manuf"
"26303",590,365,-0.480225183317273,16.1877827639659,"1999-2011","manuf"
"26304",1174,1343,0.134489196135195,10.8520596099157,"1999-2011","manuf"
"26305",130,270,0.730887508542793,8.59888055403891,"1999-2011","manuf"
"26401",10,20,0.693147180559945,8.63725479114388,"1999-2011","manuf"
"26402",30,30,0,1.90907795642785,"1999-2011","manuf"
"26403",70,60,-0.154150679827259,8.86951089152357,"1999-2011","manuf"
"26404",245,120,-0.713766467762682,34.0083955595047,"1999-2011","manuf"
"26405",30,10,-1.09861228866811,7.17195776789664,"1999-2011","manuf"
"26406",150,20,-2.01490302054226,11.2004979975659,"1999-2011","manuf"
"26407",60,30,-0.693147180559945,11.7783311404891,"1999-2011","manuf"
"26408",160,90,-0.575364144903562,5.01523046634485,"1999-2011","manuf"
"26409",100,90,-0.105360515657827,14.0883006131845,"1999-2011","manuf"
"26410",1014,1767,0.555380288168568,35.3924641383881,"1999-2011","manuf"
"26411",660,920,0.332133835022615,19.9137440678577,"1999-2011","manuf"
"26412",269,344,0.245930277771559,13.4167646508984,"1999-2011","manuf"
"26501",5325,4905,-0.0821576185781634,23.4459235252087,"1999-2011","manuf"
"26502",1525,850,-0.58451333955715,13.4959115351209,"1999-2011","manuf"
"26503",16054,14646,-0.0917907790705073,66.2495980260457,"1999-2011","manuf"
"26504",5035,4607,-0.088836640216746,15.4977800253408,"1999-2011","manuf"
"26601",740,735,-0.00677968698537867,5.79627084160919,"1999-2011","manuf"
"26602",900,1010,0.115310846510994,18.6752331737349,"1999-2011","manuf"
"26604",100,160,0.470003629245735,1.29485964956767,"1999-2011","manuf"
"26605",2879,3291,0.133748458331163,14.7957108383882,"1999-2011","manuf"
"26701",5082,4912,-0.0340236940531309,9.93886508275872,"1999-2011","manuf"
"26702",1920,1495,-0.250198979197041,6.86812220381428,"1999-2011","manuf"
"26703",3070,1185,-0.951934787012013,11.319333525632,"1999-2011","manuf"
"26704",4437,4665,0.0501093619025337,6.7146841983757,"1999-2011","manuf"
"26801",11268,11913,0.0556633908030975,10.1127400490497,"1999-2011","manuf"
"26802",2260,2600,0.140146631743242,16.3489603139972,"1999-2011","manuf"
"26803",2475,1672,-0.392219881358144,10.6064821874249,"1999-2011","manuf"
"26804",150,160,0.0645385211375711,18.1665657318692,"1999-2011","manuf"
"26901",8088,8979,0.104507035820502,7.71478541072882,"1999-2011","manuf"
"26902",5308,4036,-0.2739610139786,7.95743864865616,"1999-2011","manuf"
"2700",30307,26551,-0.132311297173832,7.34955055148321,"1999-2011","manuf"
"27001",241,300,0.218985541165546,8.33305140355703,"1999-2011","manuf"
"27002",230,300,0.265703165733005,10.1094523207995,"1999-2011","manuf"
"27003",70,90,0.251314428280906,9.87474264358327,"1999-2011","manuf"
"27004",160,210,0.271933715483642,0.195871002005174,"1999-2011","manuf"
"27005",3798,3800,0.000526454342246296,18.1644081888139,"1999-2011","manuf"
"27006",2583,2269,-0.129612308315999,7.25980351998959,"1999-2011","manuf"
"27007",1560,2755,0.568731621343431,9.24027241094255,"1999-2011","manuf"
"27008",866,572,-0.414745917182637,14.346410666305,"1999-2011","manuf"
"27009",40,50,0.22314355131421,18.1191522154313,"1999-2011","manuf"
"27010",60,110,0.606135803570316,5.50266455393084,"1999-2011","manuf"
"27011",190,160,-0.17185025692666,18.6182420245501,"1999-2011","manuf"
"27012",120,90,-0.287682072451781,3.08047921264687,"1999-2011","manuf"
